movie_id,movie_name,release,box_office,avg_price,avg_people,movie_score,movie_category,country,movie_link
1325058,红尖尖,2021-10-14,31,27.695929,52,暂无评分,剧情,中国大陆,https://piaofang.maoyan.com/movie/1325058
1487139,2022奥地利古典艺术影像展,1970-01-01,30,117.72784,18,暂无评分,暂无类型,暂无,https://piaofang.maoyan.com/movie/1487139
1301020,反击者,2021-07-27,30,36.53908,16,暂无评分,"科幻,动画",中国大陆,https://piaofang.maoyan.com/movie/1301020
1319683,梦境历险记,2021-12-31,30,30.785374,3,暂无评分,"喜剧,动画,冒险",丹麦,https://piaofang.maoyan.com/movie/1319683
243,阿凡达,2010-01-04,29,51.56369,5,9.4,"动作,科幻,冒险","美国,英国",https://piaofang.maoyan.com/movie/243
1366637,牧民省长尕布龙,2022-05-20,29,32.69488,10,暂无评分,"传记,剧情",中国大陆,https://piaofang.maoyan.com/movie/1366637
1302479,诗巫风云,2022-11-25,29,34.48596,2,暂无评分,"剧情,历史",中国大陆,https://piaofang.maoyan.com/movie/1302479
1395730,老墙,2022-09-09,28,30.245163,20,暂无评分,剧情,中国大陆,https://piaofang.maoyan.com/movie/1395730
1473624,2022年俄罗斯电影展映活动,1970-01-01,28,82.13123,54,暂无评分,暂无类型,暂无,https://piaofang.maoyan.com/movie/1473624
1216151,漫游,2022-11-18,28,32.471855,7,暂无评分,剧情,中国大陆,https://piaofang.maoyan.com/movie/1216151
1473648,2022香港电影经典主题展,1970-01-01,28,60.758778,29,暂无评分,,中国香港,https://piaofang.maoyan.com/movie/1473648
1355652,奇幻森林之兽语小子,2021-12-25,27,28.997297,4,暂无评分,动画,"中国大陆,巴基斯坦",https://piaofang.maoyan.com/movie/1355652
1477067,2022艺术博物馆主题意大利电影展映活动,1970-01-01,27,76.48397,23,暂无评分,暂无类型,暂无,https://piaofang.maoyan.com/movie/1477067
1355055,石狮之舞,2022-04-08,27,26.467558,15,暂无评分,"动作,剧情",中国大陆,https://piaofang.maoyan.com/movie/1355055
1356132,大头大头下雨不愁,2022-07-24,26,29.558811,2,暂无评分,"喜剧,剧情",中国大陆,https://piaofang.maoyan.com/movie/1356132
1106283,宇宙之旅,1970-01-01,26,27.554436,21,8.6,暂无类型,暂无,https://piaofang.maoyan.com/movie/1106283
257706,长津湖,2021-09-30,577242,46.393906,22,9.5,"剧情,历史,战争",中国大陆,https://piaofang.maoyan.com/movie/257706
1299372,你好，李焕英,2021-02-12,541320,44.756565,24,9.5,喜剧,中国大陆,https://piaofang.maoyan.com/movie/1299372
1217023,唐人街探案3,2021-02-12,451525,47.539444,31,8.8,"喜剧,悬疑",中国大陆,https://piaofang.maoyan.com/movie/1217023
